show_title,type,genre,rating,fixed_sent,article_score,article_subj,year,week_gross,avg_ticket,top_ticket,seats_sold,seats_in_theater,num_performances,capacity_filled
& Juliet,musical,jukebox,4.0,1.0,0.13,0.48,2022.8125,1105813.5541666667,141.33583333333334,329.0833333333333,7817.0625,1026.6666666666667,7.4375,96.97729166666666
1776,musical,classic,4.0,1.0,0.15,0.4,2004.377049180328,288081.7229508197,48.55868852459016,121.0,6629.606557377049,1158.2131147540983,6.918032786885246,78.74983606557376
A Doll's House,play,classic,5.0,1.0,0.11000000000000001,0.59,2008.05,518862.43,76.038,161.575,6613.225,987.4,6.425,91.692
A Raisin in the Sun,play,drama,4.0,1.0,0.05999999999999999,0.44,2009.0,806486.3,103.308,217.625,7782.633333333333,1062.0,5.766666666666667,94.96166666666666
A Soldier's Play,play,drama,4.0,1.0,0.05,0.47,2019.909090909091,373302.4090909091,74.13272727272728,297.0,5015.818181818182,721.0,5.0,95.02
A Strange Loop,musical,comedy,5.0,1.0,0.11000000000000001,0.53,2022.075,616842.085,101.67699999999999,313.925,5997.2,913.5,7.325,85.65525
Ain't No Mo',play,satire,4.0,1.0,0.07,0.46,2022.0,266654.72857142857,45.29571428571428,297.0,5191.0,1019.0,4.0,69.94
Aladdin,musical,fam_friendly,4.0,1.0,0.22,0.53,2018.0455635491608,1416699.2714628298,105.50294964028778,217.2291366906475,13352.220623501198,1726.273381294964,7.92326139088729,96.98189448441246
Assassins,musical,revue,5.0,1.0,0.08,0.5,2004.0,376523.9375,56.58625,91.25,6630.0,913.25,6.3125,91.409375
Avenue Q,musical,comedy,5.0,1.0,0.21000000000000002,0.44000000000000006,2006.109375,379578.621875,69.66990625,182.96484375,5391.175,796.0,7.89375,84.920125
Betrayal,play,classic,4.0,1.0,0.19,0.54,2010.872340425532,694073.7765957447,98.43510638297872,237.82978723404256,6497.702127659574,940.2978723404256,5.9787234042553195,89.62957446808511
Between Riverside and Crazy,play,comedy,5.0,1.0,0.03,0.43,2022.6666666666667,265403.1933333333,67.19,197.0,3818.5833333333335,579.0,5.583333333333333,88.67333333333333
"Caroline, or Change",musical,drama,4.0,1.0,0.16,0.48,2011.0588235294117,386322.4117647059,67.94852941176471,118.94529411764705,5706.382352941177,1029.8823529411766,6.5,72.95176470588235
