year,show_title,week_gross,avg_ticket,top_ticket,seats_sold,seats_in_theater,num_performances,capacity_filled
2023,& Juliet,"$923,505.70",$131.50,$373.00,"7,023","1,026",8,85.56%
2023,Aladdin,"$1,166,485.70",$91.48,$199.50,"12,751","1,727",8,92.29%
2023,Back To The Future,"$1,036,987.66",$101.05,$297.00,"10,262","1,478",8,86.79%
2023,"A Beautiful Noise, The Neil Diamond Musical","$891,388.27",$141.67,$347.50,"6,292","1,153",8,68.21%
2023,The Book of Mormon,"$918,234.89",$114.35,$0.00,"8,030","1,066",8,94.16%
2023,Chicago,"$657,842.89",$94.49,$237.00,"6,962","1,080",8,80.58%
2023,The Cottage,"$322,590.20",$89.81,$227.00,"3,592",581,8,77.28%
2023,Gutenberg! The Musical!,"$687,391.72",$104.02,$277.00,"6,608","1,066",0,88.56%
2023,Hadestown,"$552,990.45",$88.61,$0.00,"6,241",918,8,84.98%
2023,Hamilton,"$1,744,838.00",$166.11,$449.00,"10,504","1,324",8,99.17%
2023,Harry Potter and the Cursed Child,"$936,561.30",$91.82,$349.00,"10,200","1,579",8,80.75%
2023,Here Lies Love,"$577,875.70",$89.39,$327.00,"6,465","1,101",8,73.40%
2023,Jaja’s African Hair Braiding,"$180,008.00",$42.00,$276.00,"4,286",637,0,96.12%
2023,Kimberly Akimbo,"$516,982.54",$110.49,$273.00,"4,679",773,8,75.66%
2023,The Lion King,"$1,911,026.00",$146.10,$199.00,"13,080","1,696",8,96.40%
2023,Melissa Etheridge: My Window,"$199,742.50",$61.61,$349.50,"3,242",726,0,89.31%
2023,Merrily We Roll Along,"$1,304,508.00",$225.07,$499.00,"5,796",966,0,100.00%
2023,MJ The Musical,"$1,379,582.00",$139.58,$250.00,"9,884","1,387",8,89.08%
2023,Moulin Rouge! The Musical,"$1,093,011.78",$108.89,$0.00,"10,038","1,300",8,96.52%
2023,Purlie Victorious,"$259,603.00",$45.54,$297.00,"5,701","1,009",0,70.63%
2023,The Shark is Broken,"$225,055.80",$54.00,$227.00,"4,168",802,8,64.96%
2023,Shucked,"$641,266.80",$81.31,$179.00,"7,887","1,171",8,84.19%
2023,SIX: The Musical,"$780,512.75",$113.93,$249.00,"6,851","1,031",8,83.06%
2023,Some Like It Hot,"$681,484.95",$95.81,$278.00,"7,113","1,448",8,61.40%
2023,Sweeney Todd,"$1,530,902.50",$153.03,$399.00,"10,004","1,498",7,95.40%
2023,Wicked,"$1,321,960.00",$118.82,$275.00,"11,126","1,807",8,76.96%
