article_title,body,rating,rating_sent,show_title
Will Swenson to depart 'A Beautiful Noise' on Broadway,"The actor originated the role of a young Neil Diamond in this musical at the Broadhurst Theatre about the Grammy Award-winning musician's life and career."", 'Farewell, so long, goodbye. Will Swenson will play his final performance in ', 'A Beautiful Noise, The Neil Diamond Musical', ' on Broadway on October 29.', 'Swenson currently leads the show at the ', 'Broadhurst Theatre', ' as Neil Diamond - Then, a younger version of the singer-songwriter as an up-and-coming musician. The show follows Diamond as he looks back on his life and career, and his ', 'greatest hits', ' propel the story of how he went from a poor Brooklyn kid to an award-winning, globally bestselling musician.', 'Swenson has played Diamond since ', 'A Beautiful Noise', ' opened in November 2022. The current cast, most of whom are also original members, also includes Mark Jacoby as Neil Diamond – Now, Robyn Hurder as Marcia, Shirine Babb as Doctor, Jessie Fisher as Jaye Posner, Michael McCormick as Fred Weintraub/ Tommy O’Rourke, Tom Alan Robbins as Bert Berns/Kieve Diamond, and Bri Sudia as Ellie Greenwich/Rose Diamond.', ""Replacement casting for Swenson has yet to be announced. Nick Fradiani currently serves as Swenson's alternate, playing Neil Diamond - Then for one performance a week; he will continue in this role."", 'Get ', 'A Beautiful Noise', ' tickets', ' now.', 'Photo credit: Will Swenson and the cast of A Beautiful Noise. (Photo by Julieta Cervantes)'",0,None,"A Beautiful Noise, The Neil Diamond Musical"
The real history behind ‘Purlie Victorious’ on Broadway,"Discover how real-life people, places, and politics shaped Ossie Davis’s uproarious comedy from 1961, which remains just as fresh and relevant in 2023.', 'Sometimes the dividing line between a character and a playwright is a blurry one. So it is with Ossie Davis’s 1961 satirical comedy ', 'Purlie Victorious: A Non-Confederate Romp Through the Cotton Patch', ', now back on Broadway for the first time since its debut 62 years ago.', 'The story follows Purlie Victorious Judson, a Black self-made traveling preacher who returns to his segregated Georgia hometown with a mission to buy and rehab its derelict church, Big Bethel. As a Black man, that’s a tall order. The church, like the town, is in the grip of racist tyrant Ol’ Cap’n Cotchipee.', 'Davis grew up in racially segregated Georgia. Like Purlie, Davis had first-hand experience with discrimination and bigotry, forces that inform the play and fueled his lifelong commitment to civil rights. In a pre-show voiceover, director Kenny Leon notes that the play began as an angry drama. But it evolved to become less autobiographical and funnier. Get people laughing, you get people’s attention. That’s powerful.', 'Learn more about the political and personal contexts – and the impact of 1960s-era influences – that shaped ', 'Purlie Victorious', ' below.', 'Get ', 'Purlie Victorious', ' tickets', ' now.', 'Davis situated his play in Georgia in the late 1950s, a time when Jim Crow – which has been called “a racial caste system” – were in effect in the American South. Bottom line: Blacks were second-class citizens.', '“Jim Crow was more than a series of rigid anti-black laws. It was a way of life,” according to the ', 'Jim Crow Museum', ', a resource to tell the story of African American resiliency. Jim Crow bolstered the lie that Blacks were inferior to whites.', 'Davis shrewdly creates Ol\' Cap\'n Cotchipee to be the flesh-and-blood manifestation of Jim Crow, a man dressed head to toe in white who won’t hesitate to say he reveres “all that is white and holy” – and that doesn’t include African Americans. He sums the philosophy up in a chilling line: ""My ol\' Confederate father told me on his deathbed: Feed the Negras first - after the horses and cattle.""', 'Cotchipee is quick to reach for his bullwhip, but he takes a shine to Purlie’s brother Gitlow (that name is no accident), an “Uncle Tom” who’s content being subservient and keeping to the old-plantation-day ways.', 'But Davis leaves room for hope. Cotchipee’s liberal-minded son Charlie has had it with his father’s bigoted ways – and that ultimately leads the way for Purlie to get the last laugh.', ""Purlie’s plan to take ownership of Big Bethel requires a secret weapon – Lutiebelle Gussie Mae Jenkins, a follower and love interest of Purlie's who’s game for anything. Ossie Davis played the title role in the comedy’s Broadway premiere, so naturally, his wife, Ruby Dee, played Lutiebelle."", 'The couple, who were married for 57 years, previously shared a Broadway stage in 1946 in ', 'Jeb', ' and 1959 in ', 'A Raisin in the Sun', '. ', 'Purlie Victorious', "" gave them a chance to chomp into two juicy roles together onstage. And their involvement in the show didn't end with the original production: Dee later played the supporting role of Idella in a 2002 reading."", 'They frequently worked together throughout their careers until he died in 2005 at 87; she died in 2014 at 91. But ', 'Purlie Victorious', ' gave them a unique chance to shine a bright spotlight on the struggle for equality.', 'Suffice it to say that the social influencers of 1961 took notice of what Purlie Victorious was preaching. Fellow reverend Martin Luther King, Jr. saw the show. So did Malcolm X. According to Davis, ', 'X said', ', “Black folks laughing at White folks was revolutionary — the highest kind of struggle he could imagine.”', 'Eleanor Roosevelt also attended. She laughed, and then she ', 'wrote about the experience', '. “Mixed with the humor there is intelligent, incisive commentary on segregation, discrimination, and the slow pace of integration,” she wrote.', '“I think it is well for you as an American citizen to see it,” she added, “and ponder our racial problem… as a question affecting our standing and our real sincerity among the peoples of the world.”', 'Call that a ', 'Purlie', ' of wisdom.', 'Get ', 'Purlie Victorious', ' tickets', ' now.', 'Photo credit: Kara Young, Heather Alicia Simms, Leslie Odom, Jr., Vanessa Bell Calloway, Billy Eugene Jones, and Noah Robbins in Purlie Victorious. (Photo by Marc J. Franklin)'",0,None,Purlie Victorious: A Non-Confederate Romp Through the Cotton Patch
'Flex' review — a riveting play right up to the final buzzer,"Read our four-star review of ', 'Flex', "", a play about a high school girls' basketball team in Arkansas, now at Lincoln Center Theater through August 20."", 'In basketball, a flex is a continuity offense that uses a series of screens and passes between players to allow the shooter to make a jump shot or a layup. It requires a team effort.', 'Candrice Jones’s ', 'Flex', "" at Lincoln Center Theater follows the drama on and off the court as a high school girls' basketball team grapples with the challenges of being Black and female in rural Arkansas."", 'The year is 1997, and the Lady Train team in Plainnole, Arkansas, is set on success. It’s the inaugural year of the Women’s National Basketball Association, and the five fiery players believe the WNBA is their ticket out of the dusty dirt courts. There are just a few obstacles to getting to the sleek, hardwood courts of the professional basketball league. For one, April Jenkins (Brittany Bellizeare) is pregnant.', 'Team captain Starra Jones (Erica Matthews), motivated by her late mother’s basketball success, is determined to have the full team play at the state championship game. She holds a “pregnancy practice,” the teammates sport fake belly bump suits lifted from the school’s home economics classroom while running drills. The goal is to prove to the team’s coach that April can participate. It doesn’t work.', 'But more stands between the girls and the state championship game: a ruthless act of betrayal, a burgeoning romance, an identity crisis, and an inflated ego. The team’s journey to forgive one another and build trust is as gripping as a close basketball game.', 'One of the play’s strongest scenes takes place at a sleepover. Sidney Brown (Tamera Tomakili) reads from a pornographic magazine and demonstrates how to put condoms onto fruits and vegetables to a hilarious effect. The slumber party turns sour when tensions rise and secrets spill. Bellizeare breaks down in a tearful, moving monologue.', 'Like a good basketball coach, Lileana Blain-Cruz navigates the lawless energy of teenagers from giddiness to hysterics through her skillful direction. And the play’s coach, aptly named Coach Francine Pace (Christina Clark), keeps the action on pace. She leads with a sternness that both frightens and activates the young players.', 'The team is stacked with star players who deliver winning performances. There’s lots of running, jumping, and shooting hoops, and the cast plays the game effortlessly. Rounding out the Lady Train is the levelheaded Donna Cunningham (Renita Lewis) and the devout Cherise Howard (Ciara Monique), who provides a moral compass for the team.', 'Lincoln Center’s ', 'Mitzi E. Newhouse Theater', ' transforms from a dusty court into a sporting arena bursting with energy with Matt Saunders’s set. There’s also an onstage car that stagehands dressed as referees swiftly disassemble during scene transitions to applause.', 'The biggest applause comes when the team loudly shouts, “We’re big, b-i-g, bad, b-a-d, and we’re boss, b-o-s-s!” to kick off the big game. At 2 hours and 20 minutes, the play-turned-game goes too far into overtime. But ', 'Flex', ' is an action-filled play that energizes the audience, who cheer on the Lady Train with hometown team enthusiasm.', 'Flex', ' is at the Mitzi E. Newhouse Theater through August 20. Get ', 'Flex', ' tickets on New York Theatre Guide.', 'Photo credit: The cast of Flex. (Photo by Marc J. Franklin)'",4,Very Good,Flex
'The Half-God of Rainfall' review — mythologies collide in this poetic epic,"Read our four-star review of Inua Ellams's "", 'The Half-God of Rainfall', ', a Greek and African mythology-inspired play playing off Broadway at New York Theatre Workshop.', 'Blending Nigerian and Greek mythologies, Inua Ellams’s ', 'The Half-God of Rainfall', ' sees multiple gods step forward from a seven-person ensemble. It is rare that the trust and communication among an ensemble shines through in their work, but the cast of ', 'Half-God', ' seems to meld and move together, even when their characters are in conflict. Much of this charismatic connection comes from movement director Orlando Pabotoy’s choreography, which turns Ellams’s epic poem into dance theatre. Taibi Magar directs the thoughtful, meticulous ', 'New York Theatre Workshop', ' and American Repertory Theater co-production.', 'For those weary of Greek theatre, take heart in the fact that ', 'Half-God', ' grounds its story in basketball, using the sport as the backdrop for a war between men and mortals. Nigerian children, including Demi (Mister Fitzgerald), take the sport seriously and try to make their neighborhood games NBA-caliber; Demi is helped by his supernatural strength and precision, as he is the son of Zeus (Michael Laurence).', 'A journey to California and then the Olympics solidifies Demi’s place in basketball history, but other gods believe he is cheating. Nigerian American player Hakeem Olajuwon (Jason Bowen) appears to Demi and confesses that all great players are really half-gods, but that they’d signed a pact to stop competing with humans after Michael Jordan took flight on the court. “Grandfather had to wipe memories,” he says. The storyline mocks the grandeur of American sports culture, but never in a patronizing way, as if Ellams is in on the joke.', 'Audience members don’t have to be well-versed in basketball to appreciate the allegory of the game, which Sángó, a Nigerian thunder god, trains for by reading ', 'The Art of War', '. The actors narrate their characters’ actions and also speak their dialogue, which at times is superfluous and confusing. But Ellams’s language flows, for the most part, like Pabotoy’s choreography and the luscious fabric that symbolizes rivers stage. Like the ensemble, the show’s designers collaborate to create one cohesive being, with each discipline still allowed its moment in the spotlight, like scenic designer Riccardo Hernández’s rain or costume designer Linda Cho’s Statue of Liberty-inspired gown for the Yoruba river goddess Osún (Patrice Johnson Chevannes). Tal Yarden’s projection design is particularly adept, drawing in the audience with recurring motifs that keep us grounded in specific locations or times.', 'In the end, the story is led not by Demi, but by his mother Modúpé (Jennifer Mogbock, who also serves as dance captain), a priestess of Osún who captivates the power-hungry Zeus. Like other women before her, Modúpé becomes a victim of Zeus, bearing a half-god and wavering between grief and joy, content with her child but saddled with the weight of his violent conception. Pabotoy’s choreography for this violence is a reminder of the power of gesture, exchanging the literal for the subtler but piercing hearts all the same.', 'It is Modúpé’s pain and power that leads the story to a climax, though the phrasing of the concluding feminist faceoff is a bit awkward. The stilted dialogue threatens to undercut ', 'Half-God', '’s impact, but Magar’s production is too beautiful to be held down for long. Ellams’s meditation on whose stories are told and how is as powerful as the waters Osún and Modúpé command.', 'The Half-God of Rainfall', ' is at New York Theatre Workshop through August 20. Get ', 'The Half-God of Rainfall', ' tickets on New York Theatre Guide.', 'Photo credit: Jason Bowen, Patrice Johnson Chevannes and Jennifer Mogbock in The Half-God of Rainfall. (Photo by Joan Marcus)'",4,Very Good,The Half-God of Rainfall
'Let's Call Her Patty' review — Leslie Kritzer adds comedic meat to thin play,"Read our review of Zarina Shea's "", ""Let's Call Her Patty"", ', starring Rhea Perlman, Leslie Rodriguez Kritzer, and Arielle Goldman, off Broadway through August 27.', 'Comedian and actor Rhea Perlman’s return to the stage seems tailor-made for her: She plays the title character in Zarina Shea’s ', 'Let’s Call Her Patty', "", a show about an Upper West Side woman who wields kitchen knives and a Brooklyn accent with aplomb. It is not Perlman's fault that the LCT3 play, now running at the "", 'Claire Tow Theater', ' and directed by Margot Bordelon, is lacking any substance to sustain the character’s witticisms.', 'Let’s Call Her Patty', ' is narrated by Sammy (Leslie Rodriguez Kritzer in classic form), Patty’s niece. Though Patty doesn’t agonize over Sammy’s every decision as she does with her biological daughter, she did raise Sammy after the death of her sister, Sammy’s mother. Sammy tells the audience repeatedly that a place makes a person — that is, that Patty is shaped by her Upper West Side environs, and that her personality would be different if she lived in, for example, Arizona with retirees and Sammy’s wife’s dying mother.', 'Patty is a walking Upper West Side stereotype: a Jewish woman of a certain age who doesn’t work, who has a car but doesn’t like to drive it, who takes a plethora of exercise classes and frets over her appearance. She’s a Democrat, but not too left-leaning. She’s Jewish, but not in a way that seems to matter to the plot; she just likes to kvetch at her unseen husband and eat Chinese takeout and complain about the JCC. Her relationship to New York is similarly superficial, defined only by its punchlines.', 'Despite its shortcomings of both delivery and development, ', 'Let’s Call Her Patty', ' is rife with plot: Patty learns her daughter Cecile (Arielle Goldman), a wayward artist who has perhaps inherited her mother’s disordered eating patterns, has a drug problem. We don’t know how or when it started, only that it’s escalated and that rehab is expensive and ineffective. (This is a notable problem in a country where the for-profit drug treatment model dominates, though this is not the focus of the play.)', 'Goldman is given almost no time to convey her struggles or indeed anything meaningful about her character. She communicates her anxiety most often through physical tics rather than dialogue, an interesting premise that suffers simply because Cecile is not onstage enough. The play isn’t about her, but Patty; but really, it’s about Sammy, or the tenuous ties among the women. ', 'Let’s Call Her Patty', ' isn’t grounded enough to feel like it’s about anything.', ""Its monologues feel like they were written just to be monologues (every audience member at Lincoln Center knows about climate change; paragraphs reminding us of its existence aren't revolutionary or even interesting). Shea seems to have written Patty so that an actor like Perlman could sell tickets to other Upper West Siders. A place makes a person insofar as the Upper West Side makes theatregoers with disposable incomes."", 'Kritzer is the production’s saving grace, a study in both perfectly timed delivery and physical comedy. She drops to the floor and rolls under set pieces like a school child in a fire drill, winks at the howling audience as she wisecracks about Patty, and convinces us that an unseen dog is truly onstage. Already a veteran character actor sculpted in the likeness of Perlman, Kritzer carries the play as it meanders and then abruptly concludes. Though Perlman’s comedic chops still shine in some moments, Kritzer’s Sammy is both the heart and humor of the piece. Neither talent, however, is enough to make up for ', 'Let’s Call Her Patty', '’s creative stagnation.', 'Let’s Call Her Patty', ' is at the Claire Tow Theater through August 27. Check back for information on ', 'Let’s Call Her Patty', ' tickets on New York Theatre Guide.', ""Photo credit: Leslie Rodriguez Kritzer and Rhea Perlman in Let's Call Her Patty. (Photo by Jeremy Daniel)""",2,Below Average,Let's Call Her Patty
'Infinite Life' review — a superbly acted meditation on suffering,"Read our four-star review of ', 'Infinite Life', ', the latest world-premiere play from Pulitzer Prize winner Annie Baker, off Broadway at the Linda Gross Theater.', '“You look great,” Eileen cheerfully tells Sofi at the start of Annie Baker’s quietly engaging ', 'Infinite Life', ', now off Broadway in a co-production of the Atlantic Theater Company and the U.K.’s National Theatre.', 'Sofi is anything but great. She’s in physical agony, and the same goes for Eileen. The divide between how things look and the way things are is one takeaway of this group portrait of pain and its life-rattling reverberations.', 'The May 2019 setting is a clinic a couple hours north of San Francisco, where six people in their 40s and up have arrived from near and far. They’re here to fast, rest, and recuperate from various health woes that invaded their lives.', 'Over several days they trade banalities (“What are you reading?”) and who-knew factoids (“We also have tiny sphincters in our eyes”). They swap war stories, at times graphically, of how their bodies have betrayed them (“Whenever I pee, it’s like I’m peeing razors”). They ask questions (“Who are the happy normal people?” and “Are you all right, sweetheart?”) that defy easy answers and are surprisingly stirring in their directness.', 'That’s basically it, and it all happens on a relatively nondescript open-air patio featuring floral breeze blocks and a row of cushioned chaise lounges. At some point during the play’s unbroken 105 minutes, a sense of isolation sinks in. One might imagine those seats as life rafts – built for one. Suffering is singular and isolating, yet there’s plenty of it to go around.', 'In a less assured playwright’s hands, it all could make for some pretty dreary doings. Not so here. As in earlier works including ', 'Body Awareness', ' and ', 'Circle Mirror Transformation', ', which revealed her early on as a master miniaturist, and ', 'The Flick', ', which won her a Pulitzer Prize, Baker infuses this new work with signature humor, humanity, and feels-so-real dialogue.', ""Director James Macdonald assembled an ace ensemble. Sofi, played to perfection by Christina Kirk, is estranged from her husband and grappling with being “a monster.” Her “pain thing” has been unbearable for months. Sex is torture. “I have to make sure it's really worth the pain afterwards,” she says."", 'Kansas wife Eileen (Marylouise Burke, invaluable) is haunted by nerve pain that could last forever or, on the contrary, one day vanish. Elaine (Brenda Pressley), who’s from New Hampshire, is in the grip of chronic Lyme disease. Ginnie (Kristine Nielsen), is a Californian whose body failed her, and Yvette (Mia Katigbak), from Michigan, is dealing with “bladder stuff” and a host of other harrowing issues.', 'The sorority of suffering is changed by the arrival of Nelson (Pete Simpson), who has a history of colon cancer. He strolls shirtless into the patio, sparking ogling that recalls the likes of Lucky Vanous, the hunk from the Diet Coke ad. Nelson adds carbonation, particularly for Sofi.', 'As always, Baker serves up a distinct slice of life and takes her time with it. One of the play’s clever conceits is its tinkering with time. Sofi serves as a sort of human clock, making announcements like “20 minutes later” to keep us all on the same page. You have to imagine what went on during the gap.', 'If ', 'Infinite Life', ' doesn’t quite knit together into a fully satisfying whole, it’s always worthwhile to see what’s currently on the playwright’s mind. And it doesn’t hurt one bit when the acting is exceptional.', 'Infinite Life', ' runs until October 8 at the Atlantic Theater Company’s Linda Gross Theater. Get ', 'Infinite Life', ' tickets on New York Theatre Guide.', 'Photo credit: Kristine Nielsen, Brenda Pressley, Marylouise Burke, and Mia Katigbak in Infinite Life. (Photo by Ahron R. Foster)'",4,Very Good,Infinite Life
'Some Like It Hot' sets Broadway closing date,"The musical adaptation of the 1959 Billy Wilder film at the Shubert Theatre. was the most Tony Award-nominated show of the 2022-23 season with 13 nods.', 'The heat is going away. ', 'Some Like It Hot', ' has set a Broadway closing date of December 30 at the ', 'Shubert Theatre', '.', 'The musical will have played for just over a year, having played 483 total performances since November 1, 2022.', 'Some Like It Hot', ' is a musical adapted from the 1959 Billy Wilder comedy of the same name, in which two Prohibition-era jazz musicians, Joe and Jerry, flee the Chicago mob. While stowing away in disguise with an all-female swing band, they find love and learn more about their truest identities.', 'Matthew López and Amber Ruffin wrote the book, and songs are by Marc Shaiman (music and lyrics) and Scott Wittman (lyrics). Casey Nicholaw directs and choreographs.', 'Our ', 'four-star review calls ', 'Some Like It Hot', ' ""a bracing, fizzy cocktail garnished with a winning cast... this [adaptation] scores points for not just tracing the source but turning up some fresh ideas of its own.""', 'The show won Best Musical at the Drama League, Drama Desk, and Outer Critics Circle Awards, and it was nominated for 13 Tonys, including Best Musical. Among its four wins were Best Choreography and Best Leading Actor in a Musical for ', 'J. Harrison Ghee', ', one of the ', 'first non-binary performers to ever win a Tony Award', '.', 'Alongside Ghee as Jerry, the ', 'Some Like It Hot', ' Broadway cast includes ', 'Christian Borle', ' as Joe, J. Harrison Ghee as Jerry, Adrianna Hicks as Sugar, Kevin Del Aguila as Osgood, NaTasha Yvette Williams as Sweet Sue, Adam Heller as Mulligan, Mark Lotito as Spats, and Angie Schworer as Minnie.', 'Get ', 'Some Like It Hot', ' tickets', ' now.', 'Photo credit: Some Like It Hot on Broadway. (Photo by Marc J. Franklin)'",0,None,Some Like It Hot
'Hamlet' review — strong casting is king in this production of the classic tragedy,"Read our review of the Free Shakespeare in the Park production of ', 'Hamlet', ', presented by The Public Theater at the Delacorte Theater through August 6.', ""It's the summer of "", 'Hamlet', "". The Public Theater set the stage to revisit Shakespeare's familial tragedy last year by putting up "", 'Fat Ham', ', a comedic send-up of ', 'Hamlet', "" that wraps a Tony Award-nominated Broadway transfer this weekend. Forty blocks uptown, the Public now mounts the original play — with a few cuts and updates — as this year's Free Shakespeare in the Park offering."", ""Beowulf Boritt's set depicts a finely furnished present-day house with a Stacey Abrams poster out front and a car with the license plate ELS NOR (a clever nod to Elsinore, the name of the Danish palace in Shakespeare's text) off to the side. The whole scene is half-buried and askew, suggesting a world turned upside down even before the events of the play begin."", ""Quick recap of said events: King Hamlet gets murdered by his brother Claudius before the play starts. Prince Hamlet (the title character, played here by Tony nominee Ato Blankson-Wood) gets a visit from his dad's ghost, who urges revenge. The young prince pretends to go mad while secretly plotting to kill his uncle. Additional deaths — a lot of them – ensue."", ""Director Kenny Leon doesn't unearth much new insight into this story from the modern setting, however, instead electing to stage a fairly run-of-the-mill "", 'Hamlet', ' that happens to be in contemporary dress (costumes are by Jessica Jahn) and feature (truly beautiful) gospel and rap music to ground this production in Black culture.', 'Strong performances buoy the production: Blankson-Wood, on the ', 'Delacorte Theater', "" stage for the second summer in a row following last year's "", 'As You Like It', ', is a sharp Hamlet, exhibiting the perfect blend of boyish petulance and thoughtful introspection. Solea Pfeiffer, even in her comparatively little stage time, matches his skill as an Ophelia who demands to be heard. Daniel Pearce provides delightful comic relief as Polonius, and the masterful John Douglas Thompson almost makes the audience sympathize with Claudius before turning on a dime, ending Act 1 with a perfect line delivery and commanding exit.', 'Even with multiple smart scene cuts, ', 'Hamlet', "" still runs close to 3 hours, and you'll feel it in the second act — it's slower compared to the first. Greg Hildreth runs away with the act in his single scene as the wisecracking gravedigger, and just beforehand, Pfeiffer especially stands out in Ophelia's tour-de-force fit of madness. She not only gets to show off her gorgeous singing voice, but a blazing torrent of deep, enraged sorrow."", ""She's not overbearing with it, though — one of the strongest moments sees her laying flowers upon the other characters like graves as she speaks in controlled, bitter tones. It reads as somber foreshadowing. In Pfeiffer's performance, it also suggests more mental clarity than the characters believe Ophelia to have — everyone on that stage is complicit in their fates. Following her father, she's among the first to be collateral damage."", ""And such does Leon's "", 'Hamlet', ' subtly reinforce the parallel between her and Hamlet — of being haunted by their fathers, of being caught between grief and anger as they try (and ultimately fail) to find a path forward.', 'Fat Ham', ""'s influence on this production looms large (Public Theater director Oskar Eustis has "", 'specifically mentioned it', "") — that brilliant play of Ijames's vividly explores the effects of cycles of violence and grief getting passed down, specifically among Black families. This seems to be the intention behind Leon's majority-Black casting, too."", 'On its own, his direction fails to strongly deliver that vision (or any other), but together, the two shows invite a more full-bodied conversation about old-fashioned notions of death as liberation and how, and why, a new way of thinking is necessary now. This ', 'Hamlet', ""'s final stage picture, of these many Black bodies lying dead on the floor, makes that clear."", 'Hamlet', ' is at the Delacorte Theater through August 6.', 'Photo credit: Ato Blankson-Wood in Hamlet. (Photo by Joan Marcus)'",3,Good,Hamlet
"'Dracula, A Comedy of Terrors' review — a vampire romp with a bite","Read our review of Gordon Greenberg and Steven Rosen's new play "", 'Dracula, A Comedy of Terrors', ', playing off Broadway at New World Stages through January 7.', 'Vampires are back en vogue! ', 'The Last Voyage of the Demeter', ', adapted from the Captain’s Log in Bram Stoker’s ', 'Dracula', ', was released in theaters in August, while Netflix premiered Chilean filmmaker Pablo Larrain’s political satire ', 'El Conde', ', which imagines Chilean dictator Augustin Pinochet as a 250-year-old vampire, at the Venice International Film Festival two weeks ago. And now New York gets to bathe in the bombastic bloodshed of ', 'Dracula: A Comedy of Terrors', ', a goofy romp from Steve Rosen and Gorden Greenberg, at ', 'New World Stages', '.', 'On the one hand, it’s nice to see that there’s still fresh blood in this vampire — as Rosen and Greenberg have him, played dynamically by James Daly (Canada’s ', 'Letterkenny', ""), he's reinvented as an egotistical, selfish, emotionally unintelligent Adonis. On the other, the re-emergence of fanged fiction means that we as a society really are drowning in a wave of conservative politics."", 'Rosen and Greenberg, who co-authored the script while the latter also directs, seem to be aware of ditching the narrative fidelity to the novel in favor of remixing the source material’s target of social critique. If the Victorians were a repressed, sexist, and Machiavellian social order, ', 'Dracula: A Comedy of Terrors', ' makes a burlesque of their anxieties and fears. Jonathan Harker (Andrew Keenan-Bolger) is a coward, prissy real estate agent, most fearful of himself; Lucy Westfeldt (Kaitlyn Boyer) is an ambitious botanist relegated to marrying Harker; her father Dr. Westfeldt (Ellen Harvey, maybe miscast) is exploiting the mentally ill in his sanatorium; her sister Mina (Arnie Burton) is horny and desperately unmarried; and even Van Helsing (Burton again) is a woman doctor.', 'Dracula', '’s humor exaggerates the tautness between the strictures of social rules and rituals, the archetypes they create, and what happens when they’re transgressed. That kind of observation turned into absurdity feels best embodied by Daly’s Dracula. Daly is unafraid to make his ivory features a liability: he pouts his lips or falls to the ground gracelessly, which makes his performance all the more impressive.', 'His emotionally adolescent Dracula converges with the play’s attempt at engaging in the more serious business of wanting to liberate oneself from the very societal constraints the characters inhabit. While he’s experiencing an existential crisis in his desire for everything (and thus commitment to nothing), the rest of the ensemble’s desires occasionally come into focus. It’s Boatman who most effortlessly conveys this tonal transition of a woman who is torn between love and a bit of self-reliance and curiosity, but also between the genres Dracula situates itself within, like firecracker comedy and wailing melodrama.', 'The show makes it difficult to begrudge pointing out the occasional imprecise, maybe, I’ll say it, potentially transphobic “man in a dress” nature to some of the jokes because, after all, it advertises itself as a gender-bending reenvisioning of the text. But the jokes Harvey, who plays Renfield and Dr. Westfeldt, tells have more to do either with insanity or the doctor’s misogyny. Irony, certainly, but not necessarily the same as the joke being about Harvey crossing gender in her performance.', 'It’s a shame to have to mildly take the show to task because, next to Daly, Burton has the most fun on stage, truly going buck wild with his expressions and gestures, pushing ', 'Dracula', '’s tone to its very limits. But, perhaps that’s the lesson of the Victorians after all: you push too hard against certain boundaries without having a plan for the consequences and get bitten.', 'Dracula, A Comedy of Terrors', ' is at New World Stages through January 7. Get ', 'Dracula, A Comedy of Terrors', ' tickets on New York Theatre Guide.', 'Photo credit: Ellen Harvey, James Daly and Arnie Burton in Dracula, A Comedy of Terrors. (Photo by Matthew Murphy)'",3,Good,"Dracula, A Comedy of Terrors"
'Mary Gets Hers' review — ensemble play entertains and frustrates,"Read our review of Emma Horwitz's "", 'Mary Gets Hers', ', presented off Broadway by The Playwrights Realm at the Robert W. Wilson MCC Theater Space through October 7.', 'There is a lot of irony in ', 'Mary Gets Hers', ', a new play by Emma Horwitz running at ', 'MCC Theater', ' in a Playwrights Realm production. It is ironic to stage a play about a raging plague that “turned people into foam” a few years after the theatre industry shut down because of Covid-19. Horwitz seems to revel in this irony, showing off the tongue-in-cheek sadness of the child Mary (Haley Wong) and, later, her more frank devastation. It is also ironic, however, that ', 'Mary Gets Hers', ' gives us no reason to root for the title character beyond pitying her childhood circumstances.', 'Years after the death of her parents, Mary does not appear to have any desires beyond wanting them back – a reasonable wish for a real child, but not a compelling one for a protagonist. Most of the other characters are fleshed out with hopes, fears, insecurities, and ambitions, like the religious hermit Abraham (Susannah Perkins), who wants to prove himself to God and his mentor by procuring a pure virgin child for the abbey. Ephraim (Octavia Chavez-Richmond), his mentor, has arguments with God that form the core of the show’s heart. Chavez-Richmond’s balance of adroit humor and desperate supplication is a highlight that endears Ephraim to the audience.', 'Mary bemoans later that men who come from far and wide to, ahem, admire her beauty only love the image of her, like a hermit worships an icon. But Mary is just an idea in this loose adaptation of Hrotsvitha of Gandersheim’s ', 'Abraham, or the Fall and Repentance of Mary', ', running around in search of meaning.', 'Despite these character conundrums, ', 'Mary', ' is still an enjoyable show imbued with theatricality (tedious as it may get when, like Mary, you just want the hermits to stop singing). Spooky choreography lends the production a heightened air of near-Expressionism as the ensemble acts out Abraham’s nightmare of Mary’s worldly defilement. Lighting cues from Cha See further up the tension in Josiah Davis’s adept and entertaining production. But pantomime of invisible horses and hymns with all the lyrics replaced with “God” can only hold so much weight, and a repetition of lines that at first feels clever soon overstays its welcome.', 'You have to learn to love yourself “when everyone you love dies in a plague, there is no one to love you,” Mary croons like a disco diva at the end of the show, though we have no indication that she learned this lesson – certainly not through her near-instant forgiveness of Abraham, whom she had detested moments before for his meddling. ', 'Mary Gets Hers', ' tells us of such developments much more than showing them, although the showing, such as through dance, is much more interesting.', 'The ensemble’s worship of Mary might land if the character had more life or if Wong played her with more than one petulant note. As it stands, ', 'Mary Gets Hers', ' is instead a production worth seeing for the achievements of its other characters.', 'Mary Gets Hers', ' is at the Robert W. Wilson MCC Theater Space through October 7. Check back for information on ', 'Mary Gets Hers', ' tickets on New York Theatre Guide.', 'Photo credit: Haley Wong and Claire Siebers in Mary Gets Hers. (Photo by Daniel J Vasquez Productions)'",3,Good,Mary Gets Hers
